見せる,みせる,to show; to display
言葉,ことば,language; dialect / word; words; phrase; term; expression; remark / speech; (manner of) speaking / learning to speak; language acquisition
五,ご,five
午後,ごご,afternoon; p.m.
午前,ごぜん,morning; a.m.
後,あと,behind; rear / after; later / after one's death / remainder; the rest / descendant; successor; heir / more (e.g. five more minutes); left / also; in addition / past; previous
今月,こんげつ,this month
左,ひだり,left; left hand side
仕事,しごと,work; job; business; occupation; employment; vocation; task / work
私,わたし,I; me / private affairs; personal matter; secrecy / selfishness
時間,じかん,time / hour
自動車,じどうしゃ,automobile
自分,じぶん,myself; yourself; oneself; himself; herself / I; me / you
質問,しつもん,question; inquiry; enquiry
写真,しゃしん,photograph; photo; picture; snapshot; snap / movie
車,くるま,car; automobile; vehicle / wheel
手,て,"hand; arm / forepaw; foreleg / handle / hand; worker; help / trouble; care; effort / means; way; trick; move; technique; workmanship / hand; handwriting / kind; type; sort / one's hands; one's possession / ability to cope / hand (of cards) / direction / move (in go, shogi, etc.)"
秋,あき,autumn; fall
春,はる,"spring; springtime / New Year / prime (of one's life, etc.) / adolescence; puberty / sexuality"
少し,すこし,small quantity; little; few; something / little while / short distance
上げる,あげる,"to raise; to elevate / to do up (one's hair) / to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.) / to land (a boat) / to deep-fry / to show someone (into a room) / to summon (for geishas, etc.) / to send someone (away) / to enrol (one's child in school); to enroll / to increase (price, quality, status, etc.); to develop (talent, skill); to improve / to make (a loud sound); to raise (one's voice) / to earn (something desirable) / to praise / to give (an example, etc.); to cite / to summon up (all of one's energy, etc.) / to arrest / to nominate / to give / to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.) / to bear (a child) / to conduct (a ceremony, esp. a wedding) / (of the tide) to come in / to vomit / to do for (the sake of someone else) / to complete ... / to humbly do ..."
新聞,しんぶん,newspaper
水,みず,"water (esp. cool, fresh water, e.g. drinking water) / fluid (esp. in an animal tissue); liquid / flood; floodwaters / water offered to wrestlers just prior to a bout / break granted to wrestlers engaged in a prolonged bout"
声,こえ,voice / singing (of a bird); chirping (of an insect); hoot / voice; opinion (as expressed in words); view; wish; attitude; will / sound / sense (of something's arrival); feeling / voice; voiced sound
千,せん,"1,000; thousand"
大学,だいがく,university; college / former central university of Kyoto (established under the ritsuryo system for the training of government administrators) / the Great Learning (one of the Four Books)
男,おとこ,man; male / fellow; guy; chap; bloke / male lover; boyfriend; man / manliness; manly honor; manly honour; manly reputation
電話,でんわ,telephone call; phone call / telephone (device); phone
東,ひがし,east
道,みち,"road; path; street; lane; passage / route; way / distance; journey / road (e.g. to victory); course / way (of living, proper conduct, etc.); moral principles / teachings (esp. Confucian or Buddhist); dogma / field (e.g. of medicine); subject; speciality / means; way; method"
南,みなみ,south
二,に,two
百,ひゃく,100; hundred
病院,びょういん,hospital
北,きた,north / the North; northern territories / North Korea / north wind
毎日,まいにち,every day
木,き,tree; shrub; bush / wood; timber
問題,もんだい,"question (e.g. on a test); problem / problem (e.g. societal, political); question; issue; subject (e.g. of research); case; matter / question (i.e. doubt) / public discussion; controversy / trouble; problem; inconvenience; difficulty"
来年,らいねん,next year
一人,ひとり,one person / alone; unmarried; solitary
九,きゅう,nine
今年,ことし,this year
三,さん,three / tri-
四,よん,four
十,じゅう,ten
二人,ふたり,two persons; two people; pair; couple
八,はち,eight
六,ろく,six
国,くに,"country; state / region / national government; central government / home (i.e. hometown, home country) / province (of Japan) / land; earth"
話,はなし,talk; speech; chat; story; conversation / discussions; negotiation; argument
一緒,いっしょ,together / at the same time / same; identical
雨,あめ,rain
英語,えいご,English (language)
海,うみ,sea; ocean; waters
外,そと,outside; exterior / open air / other place
結婚,けっこん,marriage
呼ぶ,よぶ,"to call out (to); to call; to invoke / to summon (a doctor, etc.) / to invite / to designate; to name; to brand / to garner (support, etc.); to gather / to take as one's wife"
公園,こうえん,(public) park
口,くち,"mouth / opening; hole; gap; orifice / mouth (of a bottle); spout; nozzle; mouthpiece / gate; door; entrance; exit / speaking; speech; talk (i.e. gossip) / taste; palate / mouth (to feed) / opening (i.e. vacancy); available position / invitation; summons / kind; sort; type / opening (i.e. beginning) / counter for mouthfuls, shares (of money), and swords"
雑誌,ざっし,journal; magazine; periodical
山,やま,mountain; hill / mine (e.g. coal mine) / heap; pile / crown (of a hat); thread (of a screw); tread (of a tire); protruding part of an object / climax; peak; critical point / guess; speculation / criminal case; crime / mountain climbing; mountaineering / festival float (esp. one mounted with a decorative halberd) / wall; wall tile / temple; temple grounds / wild
使う,つかう,"to use (a thing, method, etc.); to make use of; to put to use / to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate / to use (time, money, etc.); to spend; to consume / to use (language); to speak"
女,おんな,female; woman; female sex / female lover; girlfriend; mistress; (someone's) woman
色,いろ,"colour; color; hue; tint; tinge; shade / complexion; skin colour; skin color / look (on one's face); expression / appearance; air; feeling / personality; character / tone (of one's voice, etc.); tune; sound; ring / love; lust; sensuality; love affair / lover; paramour / beauty; sexiness; physical appeal / kind; type; variety"
生徒,せいと,pupil; student; schoolchild
西,にし,west
先月,せんげつ,last month
先生,せんせい,"teacher; master; doctor / with names of teachers, etc. as an honorific / previous existence"
川,かわ,river; stream / River; the ... river
体,からだ,body / torso; trunk / build; physique; constitution / health / corpse; dead body
大切,たいせつ,important; necessary; indispensable / beloved; precious; dear; cherished; valuable / careful
大変,たいへん,very; greatly; terribly; awfully / immense; enormous; great / serious; grave; dreadful; terrible / difficult; hard / major incident; disaster
知る,しる,to be aware of; to know; to be conscious of; to cognize; to cognise / to notice; to feel / to understand; to comprehend; to grasp / to remember; to be acquainted with (a procedure) / to experience; to go through; to learn / to be acquainted with (a person); to get to know / to concern
電気,でんき,electricity / (electric) light
動物,どうぶつ,animal
二つ,ふたつ,two
年,とし,year / age; years / past one's prime; old age
半分,はんぶん,half
病気,びょうき,illness; disease; sickness
部屋,へや,room; chamber / apartment; flat; pad / stable
本当,ほんとう,truth; reality; actuality; fact / proper; right; correct; official / genuine; authentic; natural; veritable
名前,なまえ,name; full name / given name; first name
夜,よる,evening; night
旅行,りょこう,travel; trip; journey; excursion; tour
料理,りょうり,cooking; cookery; cuisine / dealing with something; handling; administration; management
練習,れんしゅう,practice; practising
一昨年,いっさくねん,year before last
何,なに,what / how many / large number of; many / you-know-what; that / whatsit; what's the expression; what do you call them / what? / hey!
魚,さかな,fish
今日,こんにち,today; this day / these days; recently; nowadays
町,まち,town; block; neighbourhood; neighborhood / street; road / 109.09 m / 0.99 hectares / downtown; main street
横,よこ,"horizontal (as opposed to vertical); lying down / side-to-side (as opposed to front-to-back); width; breadth / side (of a box, etc.) / beside; aside; next to / unconnected"
絵,え,picture; drawing; painting; sketch
教室,きょうしつ,classroom / department; laboratory / single-room school; small school
建物,たてもの,building
犬,いぬ,"dog (Canis (lupus) familiaris) / snoop (i.e. a detective, a spy, etc.) / loser; asshole / counterfeit; inferior; useless; wasteful"
黒,くろ,black / black go stone / guilt; guilty person
ある,在る,to be; to exist; to live / to have / to be located / to be equipped with / to happen; to come about
三つ,みっつ,three
紙,かみ,paper
耳,みみ,ear / hearing / edge; crust / selvedge (non-fray machined edge of fabrics); selvage
手紙,てがみ,letter
授業,じゅぎょう,lesson; class work; teaching; instruction
出す,だす,to take out; to get out / to put out; to reveal; to show / to submit (e.g. thesis); to turn in / to publish; to make public / to send (e.g. letter) / to produce (a sound); to start (fire) / to serve (food) / to begin ...; to start to ...; to burst into ...
青,あお,blue; azure / green / green light (traffic) / black (horse coat color) / immature; unripe; young
雪,ゆき,snow
全部,ぜんぶ,all; entire; whole; altogether
そば,側,near; close; beside; vicinity; proximity; besides; while / third person
村,むら,village
大使館,たいしかん,embassy
大人,おとな,adult
冬,ふゆ,winter
白,しろ,white / innocence; innocent person / blank space / white go stone / white dragon tile / skewered grilled pig intestine
半,はん,half; semi- / half-past / odd number / unit of land area (595.8 m^2)
番号,ばんごう,number; series of digits
勉強,べんきょう,study / diligence / discount; reduction
野菜,やさい,vegetable
有名,ゆうめい,famous / fame
来月,らいげつ,next month
緑,みどり,green / greenery (esp. fresh verdure)
毎年,まいとし,every year; yearly; annually
門,もん,gate / branch of learning based on the teachings of a single master / division; phylum / counter for cannons
作る,つくる,"to make; to produce; to manufacture; to build; to construct / to prepare (food); to brew (alcohol) / to raise; to grow; to cultivate; to train / to till / to draw up (a document); to make out; to prepare; to write / to create (an artistic work, etc.); to compose / to coin (a phrase); to organize; to organise; to establish; to found / to have (a child) / to make up (one's face, etc.) / to fabricate (an excuse, etc.) / to give a (false) appearance; to feign (a smile, etc.); to put on a show of emotion / to form (a line, etc.) / to set (a record) / to commit (a sin, etc.)"
両親,りょうしん,parents; both parents
お金,おかね,money
広い,ひろい,spacious; vast; wide
自転車,じてんしゃ,bicycle
窓,まど,window
大勢,おおぜい,crowd of people; great number of people / in great numbers
昼,ひる,noon; midday / daytime / lunch
鳥,とり,bird / bird meat (esp. chicken meat); fowl; poultry
電車,でんしゃ,train; electric train
服,ふく,"clothes (esp. Western clothes) / counter for doses of medicine, gulps of tea, drags of a cigarette, etc."
薬,くすり,"medicine; pharmaceuticals; (legal) drugs; pill; ointment; salve / efficacious chemical (gunpowder, pesticide, etc.) / (pottery) glaze / small bribe"
友達,ともだち,friend; companion
隣,となり,neighbor (neighbour); next to (esp. living next door to)
弟,おとうと,younger brother; little brother; kid brother / pupil; apprentice
お母さん,おかあさん,mother; mom; mum; ma / wife
駅,えき,railway station; train station / staging post on a highway (in pre-modern Japan)
夏休み,なつやすみ,summer vacation; summer holiday
みんな,皆,all; everyone; everybody / everything
休み,やすみ,rest; recess; respite / vacation; holiday; absence; suspension / dormancy (of a silkworm prior to moulting)
橋,はし,bridge
兄,あに,elder brother; older brother
兄弟,きょうだい,siblings; brothers and sisters / brothers / siblings-in-law; brothers-in-law; sisters-in-law / mate; friend
警官,けいかん,police officer; policeman; constable
玄関,げんかん,entrance; front door; entryway; entranceway; entry hall; vestibule; porch; foyer; mud room
今週,こんしゅう,this week
歯,は,tooth
図書館,としょかん,library
静か,しずか,quiet; silent / slow; unhurried / calm; peaceful
先週,せんしゅう,last week; the week before
大きな,おおきな,big; large; great
地下鉄,ちかてつ,underground train; subway
地図,ちず,map
池,いけ,pond
肉,にく,flesh / meat / the physical body (as opposed to the spirit) / thickness / ink pad
飛行機,ひこうき,aeroplane; airplane; aircraft
文章,ぶんしょう,writing; composition; essay; article; prose; (writing) style / sentence
毎週,まいしゅう,every week
卵,たまご,eggs; egg; spawn; roe / hen egg / (an expert) in the making / beginning; origin; infancy
留学生,りゅうがくせい,overseas student; exchange student
入口,いりぐち,entrance; entry; gate; approach; mouth
毎月,まいげつ,every month; each month; monthly
明日,みょうにち,tomorrow / near future
お茶,おちゃ,tea (usu. green) / tea break (at work) / tea ceremony
医者,いしゃ,(medical) doctor; physician
皆さん,みなさん,all; everyone; everybody
角,かど,"corner (e.g. desk, pavement) / edge"
勤める,つとめる,to work (for); to be employed (at); to serve (in) / to serve (as); to act (as); to fill (the position of); to play the role (of) / to conduct a religious service
靴,くつ,shoes; boots; footwear; footgear
元気,げんき,lively; full of spirit; energetic; vigorous; vital; spirited / healthy; well; fit; in good health
後ろ,うしろ,back; behind; rear
四つ,よっつ,four / four years of age / ten o'clock (old time system) / cross grips
取る,とる,"to take; to pick up; to harvest; to earn; to win; to choose / to steal / to eat; to have (a meal) / to remove (one's glasses, etc.) / to compete (in sumo, cards, etc.); to play"
女の子,おんなのこ,girl; daughter / young woman
大丈夫,だいじょうぶ,safe; secure; sound; problem-free; without fear; all right; alright; OK; okay / certainly; surely; undoubtedly / no thanks; I'm good; that's alright / great man; fine figure of a man
庭,にわ,garden; yard; courtyard / field (of action); area
天気,てんき,weather; the elements / fair weather; fine weather
便利,べんり,convenient; handy; useful
妹,いもうと,younger sister
来週,らいしゅう,next week
立派,りっぱ,splendid; fine; handsome; elegant; imposing; prominent / praiseworthy; creditable; worthy / legal; legitimate; lawful / undeniable (e.g. crime); indisputable; solid
塩,しお,"salt (i.e. sodium chloride); common salt; table salt / salt (e.g. sodium chloride, calcium sulfate, etc.) / hardship; toil; trouble / saltiness"
買い物,かいもの,shopping; purchased goods
どの,何の,which; what (way)
お父さん,おとうさん,father; dad; papa; pa; pop; daddy; dada / husband
階段,かいだん,stairs; stairway; staircase
漢字,かんじ,Chinese characters; kanji
机,つくえ,desk
戸,と,door (esp. Japanese-style) / shutter; window shutter / entrance (to a home) / narrows
今,いま,now; the present time; just now; soon; immediately; (one) more
姉,あね,older sister; elder sister
時計,とけい,watch; clock; timepiece
台所,だいどころ,kitchen / financial situation
男の子,おとこのこ,boy; male child; baby boy
難しい,むずかしい,"difficult; hard; troublesome; complicated; serious (disease, problem, etc.) / fussy; particular; fastidious; hard to please; displeased / gloomy; glum; sullen; serious (look) / dirty; unclean; filthy; detestable / unpleasant; uncomfortable; creepy; spooky"
猫,ねこ,cat / shamisen / geisha / wheelbarrow / clay bed-warmer / bottom; submissive partner of a homosexual relationship
晩,ばん,evening / counter for nights
郵便局,ゆうびんきょく,post office
夕方,ゆうがた,evening; dusk
嫌,いや,disagreeable; detestable; unpleasant; reluctant
大きい,おおきい,big; large; great / loud / extensive; spacious / important; decisive; valuable / older; grown up
時々,ときどき,sometimes; at times
押す,おす,to push; to press / to apply pressure from above; to press down / to stamp (i.e. a passport); to apply a seal / to affix (e.g. gold leaf) / to press (someone for something); to urge; to compel; to influence / to overwhelm; to overpower; to repress / to push (events along); to advance (a plan) / to do in spite of ...; to do even though ...; to force / to make sure / to be pressed for time / to advance troops; to attack / (of light) to be diffused across an entire surface
牛肉,ぎゅうにく,beef
牛乳,ぎゅうにゅう,(cow's) milk
結構,けっこう,splendid; nice; wonderful; delicious; sweet / sufficient; fine (in the sense of "I'm fine"); (by implication) no thank you / well enough; OK; tolerable / quite; reasonably; fairly; tolerably / construction; architecture
きらい,嫌い,disliked; hated; disagreeable / tendency; smack (of); touch (of) / distinction; discrimination
高い,たかい,"high; tall / expensive; high-priced / high (level); above average (in degree, quality, etc.) / loud / high-pitched; shrill"
砂糖,さとう,sugar
持つ,もつ,to hold (in one's hand); to take; to carry / to possess; to have; to own / to maintain; to keep / to last; to be durable; to keep; to survive / to take charge of; to be in charge of
縦,たて,the vertical; height / front-to-back; length / north-to-south / vertical (relationship); hierarchy / (weaving) warp
出口,でぐち,exit; gateway; way out; outlet; leak; vent
食べ物,たべもの,food
食堂,しょくどう,dining room; dining hall; cafeteria; messroom / restaurant; eatery; snack bar; diner
新しい,あたらしい,new; novel; fresh; recent; latest; up-to-date; modern
切手,きって,stamp (postage); merchandise certificate
大好き,だいすき,loveable; very likeable; like very much
売る,うる,to sell
鼻,はな,nose
頼む,たのむ,to request; to beg; to ask / to call; to order; to reserve / to entrust to / to rely on
冷蔵庫,れいぞうこ,refrigerator
映画館,えいがかん,movie theatre; movie theater; cinema
果物,くだもの,fruit
荷物,にもつ,"luggage; baggage; package / burden / payload (of a packet, cell, etc.)"
五つ,いつつ,five
作文,さくぶん,"writing (an essay, prose, etc.); composition / formal writing with little real meaning"
洗濯,せんたく,washing; laundry / relaxing; taking a break
掃除,そうじ,cleaning; sweeping; dusting; scrubbing
朝,あさ,morning
帽子,ぼうし,hat; cap
明るい,あかるい,"light; well-lit; well-lighted / bright (of a colour); brightly-coloured; brightly-colored / cheerful; bright; spirited; sunny (e.g. disposition) / encouraging (for the future of a project, etc.); promising; of fair prospects / familiar (with); knowledgeable (about); well versed (in) / fair (e.g. politics); clean; impartial"
浴びる,あびる,"to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in / to suffer (e.g. an attack); to draw (e.g. criticism, attention, praise); to have heaped upon; to be showered with"
風邪,かぜ,common cold; cold; influenza; flu; ague
箱,はこ,"box; case; chest; package; pack; crate / car (of a train, etc.) / shamisen case; shamisen / public building; community building / man who carries a geisha's shamisen / receptacle for human waste; feces (faeces) / counter for boxes (or boxed objects)"
喫茶店,きっさてん,coffee shop; tearoom; coffee lounge; coffeehouse; cafe
去年,きょねん,last year
財布,さいふ,purse; handbag; wallet
散歩,さんぽ,walk; stroll
辞書,じしょ,dictionary; lexicon / letter of resignation
切符,きっぷ,ticket
走る,はしる,to run / to travel (movement of vehicles); to drive; to flow (e.g. energy) / to hurry to / to retreat (from battle); to take flight / to run away from home / to elope / to tend heavily toward / to flash; to streak; to shoot through (e.g. pain)
買う,かう,to buy; to purchase / to value; to have a high opinion / to stir; to provoke; to draw upon oneself
辺,へん,area; vicinity; region / side; edge / circumstances
廊下,ろうか,corridor; hallway; passageway
昨日,さくじつ,yesterday
いいえ,否,no; nay / well; er; why / you're welcome; not at all; don't mention it
降りる,おりる,"to descend (e.g. a mountain); to go down; to come down / to alight (e.g. from bus); to get off; to disembark; to dismount / to step down; to retire; to give up; to quit / to be granted; to be issued; to be given / to form (of frost, dew, mist, etc.) / to be passed (from the body; e.g. of a roundworm)"
傘,かさ,umbrella; parasol / something shaped like an umbrella or a conical hat; shade (of a lamp); mushroom cap; pileus
切る,きる,"to cut; to cut through; to perform (surgery) / to sever (connections, ties) / to turn off (e.g. the light) / to terminate (e.g. a conversation); to hang up (the phone); to disconnect / to punch (a ticket); to tear off (a stub) / to open (something sealed) / to start / to set (a limit); to do (something) in less or within a certain time; to issue (stamps, vouchers, etc.) / to reduce; to decrease; to discount / to shake off (water, etc.); to let drip-dry; to let drain / to cross; to traverse / to criticize sharply / to act decisively; to do (something noticeable); to go first; to make (certain facial expressions, in kabuki) / to turn (vehicle, steering wheel, etc.) / to curl (a ball); to bend; to cut / to shuffle (cards) / to discard a tile / to dismiss; to sack; to let go; to expulse; to excommunicate / to dig (a groove); to cut (a stencil, on a mimeograph) / to trump / to cut (the connection between two groups) (in go) / to start a fire (with wood-wood friction or by striking a metal against stone) / to draw (a shape) in the air (with a sword, etc.) / to finish; to complete"
渡す,わたす,to ferry across (e.g. a river); to carry across; to traverse / to lay across; to build across / to hand over; to hand in; to pass; to give; to transfer
封筒,ふうとう,envelope
毎朝,まいあさ,every morning
洋服,ようふく,Western-style clothes (cf. traditional Japanese clothes)
黄色,きいろ,yellow; amber
終わる,おわる,to finish; to end; to close
交差点,こうさてん,crossing; intersection
鉛筆,えんぴつ,pencil
止まる,とまる,"to stop (moving); to come to a stop / to stop (doing, working, being supplied); to come to a halt; to cease; to be stopped; to be suspended / to alight; to perch on"
出る,でる,"to leave; to exit; to go out; to come out; to get out / to leave (on a journey); to depart; to start out; to set out / to move forward / to come to; to get to; to lead to; to reach / to appear; to come out; to emerge; to surface; to come forth; to turn up; to be found; to be detected; to be discovered; to be exposed; to show; to be exhibited; to be on display / to appear (in print); to be published; to be announced; to be issued; to be listed; to come out / to attend; to participate; to take part; to enter (an event); to play in; to perform / to be stated; to be expressed; to come up; to be brought up; to be raised / to sell / to exceed; to go over / to stick out; to protrude / to break out; to occur; to start; to originate / to be produced / to come from; to be derived from / to be given; to get; to receive; to be offered; to be provided; to be presented; to be submitted; to be handed in; to be turned in; to be paid / to answer (phone, door, etc.); to get / to assume (an attitude); to act; to behave / to pick up (speed, etc.); to gain / to flow (e.g. tears); to run; to bleed / to graduate"
上手,じょうず,skillful; skilled; proficient; good (at); adept; clever / flattery
読む,よむ,to read / to count / to guess; to predict; to read (someone's thoughts); to see (e.g. into someone's heart); to divine
背広,せびろ,business suit
飲む,のむ,"to drink; to gulp; to swallow; to take (medicine) / to smoke (tobacco) / to engulf; to overwhelm / to keep down; to suppress / to accept (e.g. demand, condition) / to make light of; to conceal"
紅茶,こうちゃ,black tea
七つ,ななつ,seven
借りる,かりる,to borrow; to have a loan / to rent; to hire
宿題,しゅくだい,homework; assignment / pending issue; unresolved problem; open question
早い,はやい,"fast; quick; hasty; brisk / early (in the day, etc.); premature / (too) soon; not yet; (too) early / easy; simple; quick"
多分,たぶん,perhaps; probably / generous; many; much; great
誰,だれ,who
着る,きる,"to wear (in modern Japanese, from the shoulders down); to put on / to bear (guilt, etc.)"
張る,はる,to stick; to paste; to affix / to stretch; to spread; to strain; to tighten; to put up (tent) / to form (e.g. ice on a pond) / to fill; to swell / to stick out; to put; to slap / to be expensive / to keep a watch on; to be on the lookout / to become one tile away from completion / to span; to generate
眼鏡,めがね,glasses; eyeglasses; spectacles / judgment; judgement; discrimination; discernment; insight
歌う,うたう,"to sing / to sing (one's praises in a poem, etc.); to compose a poem; to recite a poem"
ください,下さい,please give me / please do for me
見る,みる,"to see; to look; to watch; to view; to observe / to look over; to look on; to assess; to examine; to judge / to look after; to keep an eye on; to take care of / to view (e.g. flowers, movie) / to try; to try out; to test / to see that...; to find that..."
赤い,あかい,red; crimson; scarlet; vermilion; vermillion / Red; communist / beautiful
低い,ひくい,"low (rank, degree, value, content, quality, etc.) / low (position); close to the ground / short (height) / deep (voice); in a low key; low (volume)"
閉まる,しまる,"to be shut; to close; to be closed / to be firm (of a body, face, etc.); to be well-knit / to be locked / to tighten; to be tightened / to become sober; to become tense"
熱い,あつい,"hot (thing) / passionate (feelings, etc.); ardent; hot (e.g. gaze) / hot (e.g. temper) / zealous; enthusiastic; fired up / intense; severe; extreme / hot (topic); of interest"
返す,かえす,to return (something); to restore; to put back / to turn over; to turn upside down; to overturn / to pay back; to retaliate; to reciprocate / to repeat ...; to do ... back
暇,ひま,spare time; free time; leisure / time (e.g. time it takes to do something) / time off; day off; vacation; holiday; leave / quitting (one's job); firing someone; divorcing (one's spouse) / (of one's time) free; (of one's business) slow / leaving; departing
茶碗,ちゃわん,rice bowl; tea cup; teacup
出かける,でかける,to go out (e.g. on an excursion or outing); to leave; to depart; to start; to set out / to be about to leave; to be just going out
わかる,分かる,to understand; to comprehend; to grasp; to see; to get; to follow / to become clear; to be known; to be discovered; to be realized; to be realised; to be found out
おまわりさん,お巡りさん,police officer
悪い,わるい,bad; poor; inferior / evil; sinful / unprofitable; unbeneficial / at fault; to blame; in the wrong / sorry
飴,あめ,"(hard) candy; toffee / rice-sugar; sugar made from the starch of rice, potatoes, etc. / amber; yellowish-brown"
安い,やすい,cheap; inexpensive / calm; peaceful; quiet
暗い,くらい,dark; gloomy; murky / depressed; dispirited; down in the dumps; dark (mood) / dark (in colour); dull / ill-boding; dark (e.g. past); suspicious / unlikely (to succeed); hopeless; unpromising / unfamiliar (with); ignorant (of)
やさしい,易しい,easy; plain; simple
椅子,いす,chair; stool / post; office; position
違う,ちがう,"to differ (from); to vary / to not be in the usual condition / to not match the correct (answer, etc.) / to be different from promised / isn't it?; wasn't it?"
一,いち,"one / best / first; foremost / beginning; start / ace (playing card) / bottom string (on a shamisen, etc.)"
泳ぐ,およぐ,to swim
遠い,とおい,"far; distant; far away; a long way off; in the distance / distant (past); remote (in time); remote; far-removed (in time) / distant (relationship or kinship); having little to do (with someone) / far (from something else in quality, degree, etc.); not similar; way off / hard (of hearing) / nearsighted"
汚い,きたない,"dirty; filthy; foul; unclean / disordered; messy; untidy; poor (e.g. handwriting) / indecent (language, etc.); dirty; vulgar; coarse / dastardly; mean; base; underhanded / stingy; greedy"
黄色い,きいろい,yellow / high-pitched (voice); shrill
下手,へた,unskillful; poor; awkward / imprudent; untactful
いつ,何時,when; how soon
火曜日,かようび,Tuesday
花瓶,かびん,(flower) vase
会う,あう,to meet; to encounter; to see / to have an accident; to have a bad experience
灰皿,はいざら,ashtray
覚える,おぼえる,to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember / to learn; to pick up; to acquire / to feel / to think; to regard
楽しい,たのしい,enjoyable; fun; pleasant; happy; delightful
かかる,掛かる,"to take (a resource, e.g. time or money) / to hang / to come into view; to arrive / to come under (a contract, a tax) / to start (engines, motors) / to attend; to deal with; to handle / to have started to; to be on the verge of / to overlap (e.g. information in a manual); to cover / to (come) at / to be fastened / to be covered (e.g. with dust, a table-cloth, etc.) / to be caught in / to get a call / to depend on"
寒い,さむい,cold (e.g. weather) / uninteresting (esp. joke); lame; dull; weak; corny
甘い,あまい,sweet-tasting; sweet; sugary; sugared / fragrant (smelling); sweet (music) / lightly salted; light in salt; not spicy / naive; overly optimistic; soft on; generous; indulgent; easy-going; lenient / half-hearted; not finished properly / insufficient; not satisfactory; inadequate; loose / mild / tempting; enticing; luring
危ない,あぶない,dangerous; risky; hazardous; perilous; precarious / in danger; in jeopardy; critical; grave; at risk / uncertain; unreliable; insecure; unsteady; doubtful / close (i.e. a close call); narrow
いくつ,幾つ,how many? / how old?
いくら,幾ら,how much?; how many? / even; even if
帰る,かえる,to return; to come home; to go home; to go back / to leave / to get home; to get to home plate
起きる,おきる,to get up; to rise; to blaze up (fire) / to wake up; to be awake; to stay awake / to occur (usu. of unfavourable incidents); to happen; to take place
休む,やすむ,to be absent; to take a day off / to rest; to have a break / to go to bed; to (lie down to) sleep; to turn in; to retire / to stop doing some ongoing activity for a time; to suspend business
吸う,すう,to smoke; to breathe in; to inhale / to suck; to sip; to slurp / to absorb; to soak up / to kiss
強い,つよい,strong; potent; competent; domineering; tough / strong; brawny; powerful; healthy; rugged / good (at); skilled; knowledgeable / being able to handle; know how to deal (with); durable (against); resistant (to); resilient / firm; rigid; solid / intense; strong; fierce; high / dependable; trustworthy
教える,おしえる,to teach; to instruct / to tell; to inform / to preach
狭い,せまい,narrow; confined; small; cramped / limited; narrow-minded; confining
曲がる,まがる,to bend; to curve; to warp; to wind; to twist / to turn / to be awry; to be askew; to be crooked
近い,ちかい,near; close; short (distance) / close (in time); soon / close (relationship); friendly; intimate / closely related / similar; likeworthy; almost the same
九つ,ここのつ,nine
靴下,くつした,socks; sock; stockings; stocking
軽い,かるい,"light (i.e. not heavy); feeling light (i.e. offering little resistance, moving easily) / light (i.e. of foot); effortless; nimble; agile / non-serious; minor; unimportant; trivial / slight; small; gentle; soft; easy; lighthearted (e.g. joke) / easy; simple / indiscriminate"
